c_w,d_tresh,numGapJns,rep,spikeRate
2.8,1.0,1.67,1,1.98
2.8,1.0,1.45,2,1.12
3.0,1.0,1.6,0,0.98
3.0,1.0,1.42,1,0.56
3.0,1.0,1.31,2,0.74
3.2,1.0,1.46,0,81.8
3.2,1.0,1.58,1,96.38
3.2,1.0,1.7,2,1.18
3.4,1.0,1.26,0,2.32
3.4,1.0,1.46,1,4.56
3.4,1.0,1.68,2,99.82
3.6,1.0,1.93,0,1.06
3.6,1.0,1.43,1,1.02
3.6,1.0,1.52,2,93.86
3.8,1.0,1.56,0,0.96
3.8,1.0,1.58,1,7.46
3.8,1.0,1.55,2,2.36
0.0,1.1,0.0,0,90.32
0.0,1.1,0.0,1,78.56
0.0,1.1,0.0,2,94.62
0.2,1.1,2.0,0,89.08
0.2,1.1,1.94,1,1.98
0.2,1.1,1.99,2,1.22
0.4,1.1,1.83,0,0.92
0.4,1.1,1.89,1,88.16
0.4,1.1,1.82,2,78.04
0.6,1.1,1.85,0,72.48
0.6,1.1,2.11,1,79.8
0.6,1.1,1.75,2,86.92
0.8,1.1,1.89,0,96.82
0.8,1.1,2.27,1,90.96
0.8,1.1,2.0,2,0.96
1.0,1.1,1.66,0,83.6
1.0,1.1,2.01,1,0.8
1.0,1.1,1.75,2,78.02
1.2,1.1,1.89,0,82.48
1.2,1.1,1.78,1,0.66
1.2,1.1,1.85,2,85.84
1.4,1.1,2.12,0,0.7
1.4,1.1,1.9,1,0.84
1.4,1.1,1.94,2,80.96
1.6,1.1,1.85,0,85.48
1.6,1.1,1.96,1,97.36
1.6,1.1,1.9,2,103.9
1.8,1.1,1.94,0,0.64
1.8,1.1,1.91,1,92.7
1.8,1.1,1.96,2,1.08
2.0,1.1,1.6,0,2.44
2.0,1.1,1.91,1,1.7
2.0,1.1,1.9,2,91.42
2.2,1.1,1.94,0,1.02
2.2,1.1,1.82,1,0.6
2.2,1.1,1.99,2,104.52
2.4,1.1,1.75,0,86.68
2.4,1.1,1.74,1,0.54
2.4,1.1,2.0,2,91.38
2.6,1.1,1.88,0,0.62
2.6,1.1,1.8,1,0.6
2.6,1.1,1.82,2,1.04
2.8,1.1,1.79,0,92.42
2.8,1.1,2.04,1,101.94
2.8,1.1,1.96,2,0.84
3.0,1.1,1.82,0,84.02
3.0,1.1,2.07,1,0.62
3.0,1.1,1.61,2,87.7
3.2,1.1,1.85,0,94.08
3.2,1.1,1.94,1,93.96
3.2,1.1,1.95,2,99.04
3.4,1.1,1.84,0,94.64
3.4,1.1,2.01,1,0.44
3.4,1.1,1.74,2,0.62
3.6,1.1,1.87,0,93.22
3.6,1.1,1.98,1,102.14
3.6,1.1,2.1,2,0.66
3.8,1.1,1.87,0,91.88
3.8,1.1,1.96,1,1.04
3.8,1.1,1.74,2,87.38
0.0,1.2,0.0,0,76.88
0.0,1.2,0.0,1,81.32
0.0,1.2,0.0,2,66.32
0.2,1.2,2.29,0,68.6
0.2,1.2,2.14,1,78.42
0.2,1.2,2.02,2,79.6
0.4,1.2,2.2,0,94.44
0.4,1.2,2.3,1,83.02
0.4,1.2,2.08,2,79.34
0.6,1.2,2.0,0,76.5
0.6,1.2,2.21,1,63.44
0.6,1.2,2.19,2,72.12
0.8,1.2,2.36,0,96.94
0.8,1.2,2.32,1,98.42
0.8,1.2,1.98,2,0.94
1.0,1.2,2.5,0,88.48
1.0,1.2,2.1,1,0.86
1.0,1.2,2.27,2,20.36
1.2,1.2,2.31,0,90.74
1.2,1.2,2.07,1,1.26
1.2,1.2,2.27,2,88.74
1.4,1.2,2.48,0,97.26
1.4,1.2,2.07,1,0.82
1.4,1.2,2.09,2,1.62
1.6,1.2,2.25,0,3.0
1.6,1.2,2.19,1,1.78
1.6,1.2,2.2,2,1.0
1.8,1.2,2.26,0,93.86
1.8,1.2,2.44,1,0.94
1.8,1.2,2.16,2,83.42
2.0,1.2,2.11,0,1.74
2.0,1.2,2.3,1,96.46
2.0,1.2,2.34,2,0.72
2.2,1.2,2.19,0,0.62
2.2,1.2,2.35,1,90.98
2.2,1.2,2.3,2,1.7
2.4,1.2,2.17,0,0.82
2.4,1.2,2.24,1,0.52
2.4,1.2,2.5,2,0.8
2.6,1.2,2.14,0,0.5
2.6,1.2,2.21,1,95.22
2.6,1.2,2.31,2,0.54
2.8,1.2,2.19,0,0.6
2.8,1.2,2.27,1,0.84
2.8,1.2,2.21,2,97.64
3.0,1.2,2.21,0,104.04
3.0,1.2,2.2,1,83.06
3.0,1.2,2.34,2,0.54
3.2,1.2,2.16,0,0.54
3.2,1.2,2.41,1,100.5
